,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
105,Rosseau Lake College,,Rosseau,P0C 1J0,,,,,,
106,Mount Salem Christian S,,Aylmer,N5H 2R5,,,,,,
107,Maranatha Christian Academy,,Windsor,N9E 1A2,,,,,,
108,Académie Ste-Cécile International School,,Windsor,N9G 1V8,,,,,,
109,United Mennonite Educational Institute,,Leamington,N8H 3V8,,,,,,
110,Chatham Christian School,,Chatham,N7M 6L8,,,,,,
111,London International Academy,,London,N6A 3C2,,,,,,
112,Al-Taqwa Secondary School,,London,N5W 2L3,,,,,,
113,Providence Reformed Collegiate,,Komoka,N0L 1R0,,,,,,
114,London Christian High,,London,N5W 1V3,,,,,,
115,Canada Christian Academy,,Brampton,L6W 2T8,,,,,,
116,Nancy Campbell Academy,,Stratford,N5A 4A8,,,,,,
117,Rehoboth Christian School,,Norwich,N0J 1P0,,,,,,
118,Scholars' Hall,,Kitchener,N2R 1K4,,,,,,
119,Woodland Christian High School,,Breslau,N0B 1M0,,,,,,
120,Rockway Mennonite Collegiate,,Kitchener,N2G 3C8,,,,,,
121,Carmel New Church School,,Kitchener,N2R 1N2,,,,,,
122,Koinonia Christian Academy,,Bloomingdale,N0B 1K0,,,,,,
123,Emmanuel Christian High School,,Fergus,N1M 0B1,,,,,,
124,Khalsa Community School,,Brampton,L6S 3B5,,,,,,
125,St John's-Kilmarnock School,,Breslau,N0B 1M0,,,,,,
126,Niagara Academy,,Vineland,L0R 2E0,,,,,,
127,Heritage Christian School,,Jordan,L0R 1S0,,,,,,
128,Jordan Christian School,,Jordan Station,L0R 1S0,,,,,,
129,Robert Land Academy,,Wellandport,L0R 2J0,,,,,,
130,Niagara Christian Collegiate,,Fort Erie,L2A 5M4,,,,,,
131,Great Lakes Christian High School,,Beamsville,L0R 1B6,,,,,,
132,Ridley College,,St Catharines,L2R 7C3,,,,,,
133,Smithville District Christian High School,,Smithville,L0R 2A0,,,,,,
134,Rehoboth Christian School,,Copetown,L0R 1J0,,,,,,
135,TALC Priv S,,Burlington,L7P 1A8,,,,,,
136,Tapply Binet College,,Ancaster,L9G 3K9,,,,,,
137,Southern Ontario College,,Hamilton,L8R 1B4,,,,,,
138,Guido de Bres Christian High School,,Hamilton,L9A 5K3,,,,,,
139,Hamilton District Christian High School,,Ancaster,L9G 3K9,,,,,,
140,Hillfield Strathallan College,,Hamilton,L9C 1G3,,,,,,
141,Bruce Peninsula District School - Secondary,54,Lion's Head,N0H 1W0,0.5,0.9,,,,
142,Chesley District Community School Secondary,,Chesley,N0G 1L0,0.4,0.86,,,,
143,Grey Highlands SS,635,Flesherton,N0C 1E0,0.36,0.67,,,,
144,John Diefenbaker Senior School – Secondary,615,Hanover,N4N 1G7,0.54,0.86,,,,
145,Kincardine &amp; District Secondary School,465,Kincardine,N2Z 2B9,0.29,0.72,,,,
146,Georgian Bay Community School - Secondary,343,Meaford,N4L 1A4,0.46,0.75,,,,
147,Owen Sound C &amp; VI,,Owen Sound,N4K 0A2,,,,,,
148,Saugeen District Secondary School,597,Port Elgin,N0H 2C4,0.65,0.91,,,,
149,Walkerton District Community School (Secondary),418,Walkerton,N0G 2V0,0.41,0.74,,,,
150,Owen Sound District Secondary School,"1,287",Owen Sound,N4K 3P6,0.53,0.89,,,,
151,Peninsula Shores District School – Secondary,182,Wiarton,N0H 2T0,0.58,0.9,,,,
152,Central Huron SS,488,Clinton,N0M 1L0,0.45,0.75,,,,
153,Goderich District CI,431,Goderich,N7A 3M5,0.52,0.76,,,,
154,Listowel DSS,928,Listowel,N4W 2M4,0.56,0.86,,,,
155,Mitchell DHS,315,Mitchell,N0K 1N0,0.6,0.93,,,,
156,South Huron DHS,415,Exeter,N0M 1S6,0.57,0.82,,,,
157,St Marys DC &amp; VI,442,St Marys,N4X 1B6,0.54,0.85,,,,
158,Stratford Central SS,,Stratford,N5A 6R7,0.63,0.92,,,,
