,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
1047,Aglace Chapman Education Centre,,BigTrout Lake,P0V 1G0,,,,,,
1048,Mikinaak Onigaming S,,Nestor Falls,P0X 1K0,,,,,,
1049,Pelican Falls First Nations High School,,Sioux Lookout,P8T 0A7,,,,,,
1050,Mizhakiiwetung Memorial School,,Whitedog,P0X 1P0,,,,,,
1051,Wahsa Distance Education Centre,,Sioux Lookout,P8T 1B7,,,,,,
1052,Nbisiing Secondary School,,North Bay,P1B 8G5,,,,,,
1053,Zhingwaako Za'iganing School,,Fort Frances,P9A 3M6,,,,,,
1054,Simon Jacob Memorial Education Centre,,Webequie,P0T 3A0,,,,,,
1055,Sakatcheway Anishinabe,,Grassy Narrows,P0X 1B0,,,,,,
1056,Adults in Motion,,Garden River,P6A 5K9,,,,,,
1057,Kawenni:io/Gaweni:yo High School,,Hagersville,N0A 1H0,,,,,,
1058,Dennis Franklin Cromarty High School,,Thunder Bay,P7C 4P3,,,,,,
1059,Keewaytinook Internet High School,,Thunder Bay,P7B 4A3,,,,,,
1060,Ohahase Education Centre,,TyendinagaMohawk T,K0K 1X0,,,,,,
1061,Peoples Christian Academy,,Markham,L3R 6G3,,,,,,
1062,Doon School,,Brampton,L6S 4L6,,,,,,
1063,Mariyah Islamic School,,Scarborough,M1G 1P7,,,,,,
1064,Holy Name of Mary College School,,Mississauga,L5H 2K8,,,,,,
1065,Al-Ikhlaas Foundation School,,Etobicoke,M9W 4J9,,,,,,
1066,"Toronto Academy of Math, Science &amp; Arts",,North York,M2M 3X7,,,,,,
1067,Francine J. Wesley Secondary School,,Kashechewan,P0L 1S0,,,,,,
1068,William Academy,,Toronto,M1W 3S3,,,,,,
1069,SIMCOE ACADEMY,,ST CATHARINES,L2N 4V2,,,,,,
1070,Canadian Academy of Secondary Studies,,Toronto,M2N 5P9,,,,,,
1071,Town Centre Private Schools - High School,,Markham,L3R 7P3,,,,,,
1072,Peetabeck Academy,,Fort Albany,P0L 1H0,,,,,,
1073,Nobel Academy,,North York,M2M 3S9,,,,,,
1074,Kingdom Covenant Academy,,Mississauga,L4Y 4A2,,,,,,
1075,Excel High School,,Scarborough,M1S 3L1,,,,,,
1076,Elpis College Toronto,,North York,M2N 3C8,,,,,,
1077,Can-AIM High School,,Etobicoke,M9W 2J3,,,,,,
1078,The Hill Academy,,Vaughan,L4K 5R1,,,,,,
1079,Birmingham International Collegiate of Canada,,Toronto,M4R 2E4,,,,,,
1080,Academy of Excellence,,Toronto,M2N 4Y2,,,,,,
1081,Northern Lights Preparatory College,,Toronto,M2N 6C6,,,,,,
1082,Premiere Elite Athletes' Collegiate,,Toronto,M3K 2B9,,,,,,
1083,Discovery Academy Inc,,Richmond Hill,L4C 1T8,,,,,,
1084,Wales College Secondary School,,Toronto,M1V 4S3,,,,,,
1085,Canadian Independent College,,St. Agatha,N0B 2L0,,,,,,
1086,Arts and Science Academy of Canada,,Vaughan,L4K 2T4,,,,,,
1087,Oxford Reformed Christian School,,Mount Elgin,N0J 1N0,,,,,,
1088,Nile Academy,,Toronto,M9L 2J7,,,,,,
1089,Rutherford Private School and Daycare,,Concord,L4K 5N8,,,,,,
1090,Dewey College,,Mississauga,L4Z 1R9,,,,,,
1091,Tayyibah Islamic Academy,,Scarborough,M1B 2V5,,,,,,
1092,Royal Crown Academic School,,Toronto,M1S 4G2,0.69,0.2,,,,
1093,Horizons Secondary School,,Toronto,M2N 5M1,,,,,,
1094,Oxford College of Canada,,North York,M2J 0A3,,,,,,
1095,Delores D. Echum Composite School,,Moose Factory,P0L 1W0,,,,,,
1096,Unity Christian High School,,Barrie,L4N 2R3,,,,,,
1097,NOIC Academy,,Markham,L3S 2H4,,,,,,
1098,Advanced Academy,,Richmond Hill,L4C 1T7,,,,,,
1099,Alborz Educational Centre,,Toronto,M2M 3Y9,,,,,,
1100,Longfields Davidson Heights SS,,Nepean,K2J 5C6,0.45,0.92,,,,
1101,St Maximilian Kolbe CHS,"1,334",Aurora,L4G 1J5,0.45,0.83,,,,
1102,Our Lady Queen of the World Catholic Academy,790,Richmond Hill,L4C 3P2,0.46,0.88,,,,
1103,St. Francis Xavier High School,,,,0.61,0.87,,,,
1104,St Roch Catholic SS,"1,412",Brampton,L6X 0N3,0.54,0.91,,,,
1105,Cardinal Ambrozic Cath SS,"1,335",Brampton,L6P 3A2,0.58,0.92,,,,
1106,The Study Academy,,Toronto,M4S 1Z9,,,,,,
1107,ALPHA II Alternative S,49,Toronto,M6H 1M9,,,,,,
1108,Superior Collegiate and Vocational Institute,545,Thunder Bay,P7A 5S3,0.37,0.92,,,,
1109,SuOn Academy,,TORONTO,M9N 3X9,,,,,,
1110,Wali ul Asr School,,Caledon,L7E 4G2,,,,,,
1111,EXEMPLE école - privée,,,,,,,,,
1112,Maxwell Heights Secondary School,"1,642",Oshawa,L1K 0N1,0.7,0.92,,,,
1113,École secondaire Roméo Dallaire,118,Barrie,L4N 9E9,0.73,0.83,,,,
1114,Toronto Prep School,,,,,,,,,
1115,Fulford Academy,,Brockville,K6V 1E2,,,,,,
1116,Peel Alternative School - West,,Mississauga,L5N 4G7,,,,,,
1117,Eastern Canada High School,,Toronto,M9W 1P7,,,,,,
1118,UMC High School,,Scarborough,M1J 1J1,,,,,,
1119,Ontario Hockey Academy,,Cornwall,K6H 5R6,,,,,,
1120,Renaissance Academy,,Utopia,L0M 1T0,,,,,,
1121,Centre de formation des adultes,19,Windsor,N9A 4J6,,,,,,
1122,Superior Heights CVS,800,SaultSte. Marie,P6B 2C5,0.31,0.77,,,,
1123,St. Michael Catholic Secondary School,"1,194",Bolton,L7E 4G6,0.5,0.88,,,,
1124,École secondaire de Lamothe-Cadillac,,,,0.72,0.95,,,,
1125,École Cap sur l'Avenir (été),,,,,,,,,
1126,É C Édu. permanente et alternative - Soir,,,,,,,,,
1127,Yorkdale Adult Learning Centre,N/D,North York,M6A 1L6,,,,,,
1128,Louise Arbour S.S.,,,,0.61,0.84,,,,
1129,Scarborough Centre for Alt Studies,N/D,Toronto,M1K 4C9,,,,,,
1130,DCE - Under 21 Collegiate Institute and Vocational School,N/D,Oshawa,L1H 4A3,,,,,,
1131,Algoma Education Connection Secondary School,,,,,,,,,
1132,ÉS C Pierre-Savard,,,,0.44,0.9,,,,
1133,St John Bosco Alternative CHS,97,Guelph,N1H 3A6,0.36,,,,,
1134,Vaughan College,,WOODBRIDGE,L4H 0L4,,,,,,
1135,Peak Centre Academy,,,,,,,,,
1136,City Adult Learning Centre,,Toronto,M4K 1M8,,,,,,
1137,Matawa Learning Centre,,Thunder Bay,P7C 5Y2,,,,,,
1138,Alathena International Academy,,Scarborough,M1W 3W6,,,,,,
1139,Ontario Virtual School,,Toronto,M2N 0G3,,,,,,
1140,Quantum Academy,,Richmond Hill,L4C 9M5,,,,,,
1141,UMCA Rich Tree Academy,,,,,,,,,
1142,Al-Risala Academy,,Mississauga,L4Y 4A2,,,,,,
1143,VIP Academy,,Toronto,M1V 0B3,,,,,,
1144,Hamilton Academy of Performing Arts,,,,,,,,,
1145,École Ibn Batouta,,Ottawa,K0A 1K0,,,,,,
1146,École secondaire Gaétan Gervais,,Oakville,L6H 1H9,0.55,0.95,,,,
1147,Avon Maitland District e-Learning Centre (A.M.D.E.C.),N/D,Clinton,N0M 1L0,,,,,,
1148,David Suzuki Secondary School,"1,621",Brampton,L6X 0Z3,0.41,0.8,,,,
1149,St. Michael’s Catholic High School-Adult Education Centre,,Windsor,N9C 2P6,,,,,,
1150,Barrydowne College Intermediate,N/D,Sudbury,P3A 3V8,,,,,,
1151,Nottawasaga Pines Secondary School,735,Angus,L0M 1B1,0.56,0.79,,,,
1152,Ottawa Jewish Community School,,Ottawa,K2A 1R9,,,,,,
1153,Xyna International High School,,Brampton,L6X 0Z9,,,,,,
1154,Everest Academy,,Vaughn,L4K 5R1,,,,,,
1155,Tecumseh Vista Academy Secondary School,,,,0.51,0.91,,,,
1156,Canadian Nobel Academy,,North York,M2M 3X7,,,,,,
1157,John Polanyi Collegiate Institute,,North York,M6A 1B1,0.11,0.51,,,,
1158,Kent School,,Niagara Falls,L2E 1C6,,,,,,
1159,National Ski Academy,,Collingwood,L9Y 2Y1,,,,,,
1160,Stanford Academy,,Kitchener,N2A 1Z7,,,,,,
1161,AVRO Academy,,Toronto,M5M 3X9,,,,,,
1162,Elpis College,,Mississauga,L5L 4M1,,,,,,
1163,Vanier Residence/Glenforest SS,,,,,,,,,
1164,Cambridge International Academy,,Ajax,L1S 2M4,,,,,,
1165,Gai hon nya ni: Amos Key Jr. E-Learning,,Ohsweken,N0A 1M0,,,,,,
1166,Ontario Institute of Technology UP Academy,,North York,M2J 5E2,,,,,,
1167,Khalsa School Malton,,Mississauga,L4T 2H3,,,,,,
1168,Brooklyn College,,Toronto,M3B 2T5,,,,,,
1169,Wisdom Academy,,Toronto,M1T 1V6,,,,,,
1170,Waterloo Independent Secondary School,,CAMBRIDGE,N1R 7A5,,,,,,
1171,Grade Learning - Markham,,Markham,L3R 9X4,,,,,,
1172,Amanah Academy North America Foundation,,Scarborough,M1P 2B8,,,,,,
1173,Vineridge Academy,,Niagara-on-the-lake,L0S 1J0,,,,,,
1174,École secondaire Toronto Ouest,159,Toronto,M6H 3Y1,0.36,0.9,,,,
1175,École secondaire Norval-Morrisseau,,,,0.83,0.96,,,,
1176,Craig Kielburger Secondary School,"1,395",Milton,L9T 7V8,0.61,0.93,,,,
1177,Garth Webb Secondary School,,,,0.55,0.94,,,,
1178,ÉSC Saint-Frère-André,,,,0.72,0.97,,,,
1179,Canada Fullbright International School,,Welland,L3B 5N4,,,,,,
1180,Can-Lakeshore Academy,,Markham,L3T 0A9,,,,,,
1181,The Duncan Academy,,Markham,L3R 8E1,,,,,,
1182,OnCourse Education,,,,,,,,,
1183,Migizi Miigwanan Secondary School,,Longlac,P0T 2A0,,,,,,
1184,Master Academy,,Toronto,M2N 1M2,,,,,,
1185,Acacia International High School,,York,M9N 3B3,,,,,,
1186,Franklin College School,,Toronto,M1S 5K7,,,,,,
1187,Lolart School,,North York,M2N 1M4,,,,,,
1188,Urban International High School,,Toronto,M4W 2G4,,,,,,
1189,Trillium Lakelands Adult Continuing Educ Night School,N/D,Lindsay,K9V 4R2,,,,,,
1190,Castlebrooke Secondary School,"1,891",Brampton,L6P 3L1,0.31,0.89,,,,
1191,Hope Reformed Christian School,,,,,,,,,
1192,Darwin International Academy,,,,,,,,,
1193,Niagara Falls Collegiate Institute,,St. Catharines,L2N 6N7,,,,,,
1194,Ontario eSchool,,Concord,L4K 1X9,,,,,,
1195,Khairul Ummah School,,Toronto,M1L 2K6,,,,,,
1196,Merrick Preparatory School,,Merrickville,K0G 1N0,,,,,,
1197,Bimose Community High School,,Kenora,P9N 3Y4,,,,,,
1198,Highland Academy of Canada,,Vaughan,L6A 3Z8,,,,,,
1199,Granite Ridge Education Centre - Secondary,,,,0.26,0.56,,,,
1200,Jean Vanier Catholic Secondary School,"1,594",Milton,L9T 8B4,0.54,0.86,,,,
1201,Alternative School,,Barrie,L4N 0W5,0.5,0.18,,,,
1202,Saint Andre Bessette Catholic Secondary School,918,London,N6G 0L8,0.49,0.8,,,,
1203,ÉSC Sainte-Trinité,288,Oakville,L6M 0R4,0.55,0.93,,,,
1204,Dr. Frank J. Hayden Secondary School,,,,0.57,0.87,,,,
1205,École Ronald Marion,,,,0.57,0.88,,,,
1206,DSBN Academy Secondary School,,,,0.71,0.99,,,,
1207,Urban International High School,,Toronto,M4P 1E8,,,,,,
1208,Horizons Secondary School,,Trenton,K8V 2J1,,,,,,
1209,Laureate International College,,TORONTO,M3B 3S6,,,,,,
1210,National College of Canada,,Markham,L3T 0C4,,,,,,
1211,MacLachlan College,,Oakville,L6J 3H3,,,,,,
1212,Toronto Preparatory Academy,,Toronto,M2N 6K7,,,,,,
1213,St-Laurent Academy,,,,,,,,,
1214,Leahurst College,,Kingston,K7K 1Z7,,,,,,
1215,Princeton Academy of Canada,,Markham,L3R 0E2,,,,,,
1216,St. Jude's Academy,,Mississauga,L5N 2M6,,,,,,
1217,Bronston Canadian Academy,,Hamilton,L8N 3W1,,,,,,
1218,École secondaire publique Maurice Lapointe,,,,0.54,0.96,,,,
1219,Innocent Hearts Secondary School,,Brampton,L6S 0E1,,,,,,
1220,Amberson College,,Toronto,M1W 2S7,,,,,,
1221,Inspiration Private School,,,,,,,,,
1222,Clinton International College,,North York,M2N 1R3,,,,,,
1223,William International Academy,,,,,,,,,
1224,Metropolitan College,,,,,,,,,
1225,Kisomo International Collegiate,,Toronto,M9W 1M6,,,,,,
1226,Merit College,,,,,,,,,
1227,Msgr. Fraser College - Northeast,,Toronto,M4Y 1P6,,,,,,
1228,Msgr. Fraser College - Southwest,,Toronto,M4Y 1P6,,,,,,
1229,Crown Academy,,North York,M2N 6S6,,,,,,
1230,Fieldstone King’s College School,,Toronto,M6B 3T4,,,,,,
1231,Programme de jour-Le Passage,,Toronto,M6H 3Y1,,,,,,
1232,Msgr. Fraser College – Midland North,172,Scarborough,M1S 3K8,,,,,,
1233,Tarbiyah Learning,,,,,,,,,
1234,Nile Academy - Blue Haven Campus,,Toronto,M9M 1W6,,,,,,
1235,Cambridge International Academy,,Ajax,L1S 2H3,,,,,,
1236,Metro International Secondary Academy,,Toronto,M3B 2W6,,,,,,
1237,Canadian Online High School,,Guelph,N1H 7V2,,,,,,
1238,É C Éducation sans frontière - été,,,,,,,,,
1239,One Direction Academy,,Toronto,M3C 1V9,,,,,,
1240,Duke Academy,,Toronto,M2N 6N4,,,,,,
1241,Tommy Douglas Secondary School,,Woodbridge,L4H 4E9,0.54,0.94,,,,
1242,Monsignor Fraser College – St. Martin Campus,22,Toronto,M4X 1C5,,,,,,
1243,Emery EdVance Secondary School,,,,,,,,,
1244,OneSchool Global - Hamilton,,Burlington,L7N 3N4,,,,,,
1245,Cobourg Collegiate Institute,,,,0.52,0.78,,,,
1246,Valour JK to 12 School - Secondary,,,,0.5,0.8,,,,
1247,Rosedale Academy,,Markham,L3R 6G2,,,,,,
1248,Canada Prep Academy,,Jordan,L0R 1S0,,,,,,
1249,Bnei Akiva Schools – Yeshivat Or Chaim,,,,,,,,,
1250,Birchas Shmuel,,,,,,,,,
1251,Tarbiyah Learning Academy,,,,,,,,,
1252,ACE Acumen High School,,,,,,,,,
1253,Native Learning Centre – East,,,,,,,,,
1254,Elite Academic School,,Toronto,M2J 4G8,,,,,,
1255,Msgr. Fraser College - Midtown,,,,,,,,,
1256,Machon Sarah High School,,Ottawa,K1Z 7P9,,,,,,
1257,Adult Day School,,,,,,,,,
1258,N'Swakamok Native Alternative School,,Sudbury,P3C 1T6,,,,,,
1259,Adult Learning,N/D,Goderich,N7A 2K5,,,,,,
1260,Applewood School,N/D,MISSISSAUGA,L5M 7E6,,,,,,
1261,Parkholme School,N/D,Brampton,L7A 2Z7,,,,,,
1262,Emery EdVance Secondary School,139,Toronto,M9M 2V9,,,,,,
1263,Maple Leaf Collegiate,,Toronto,M1S 4R5,,,,,,
1264,Markham International College,,Toronto,M1T 3K1,,,,,,
1265,Toronto Central Academy,,Toronto,M2N 3A9,,,,,,
1266,Alathena International - Richmond Hill,,Richmond Hill,L4B 2N7,,,,,,
1267,Blyth Academy - Burlington,,Burlington,L7R 2N1,,,,,,
1268,Blyth Academy-Barrie,,,,,,,,,
1269,Blyth Academy-London,,London,N6A 2P6,,,,,,
1270,Blyth Academy Mississauga - Adamson,,,,,,,,,
1271,Blyth Academy Mississauga - Cawthra,,Mississauga,L5G 4L1,,,,,,
1272,Blyth Academy - Ottawa,,Ottawa,K2A 0E2,,,,,,
1273,Blyth Academy Thornhill,,Thornhill,L3T 5W4,,,,,,
1274,Blyth Academy-Whitby,,,,,,,,,
1275,Blyth Academy Lawrence Park East,,,,,,,,,
1276,Blyth Academy Lawrence Park,,Toronto,M4P 2J5,,,,,,
1277,Mississauga Secondary Academy,,Mississauga,L5B 2N5,,,,,,
1278,Madinatul Uloom Academy - Scarborough,,Toronto,M1H 2Z7,,,,,,
1279,UMCA International Academy - North York,,North York,M3B 2X9,,,,,,
1280,Cornell International Academy,,,,,,,,,
1281,Victoria Academy,,Brantford,N3T 3Y3,,,,,,
1282,ADE Schools,,Ottawa,K1G 0Z6,,,,,,
1283,Concord College of Canada,,Richmond Hill,L4B 3K9,,,,,,
1284,Yorkville International Academy,,Markham,L3R 0M3,,,,,,
1285,Wali ul Asr School -GTA East Campus,,Toronto,M1J 1J1,,,,,,
1286,Seneca Hill Collegiate,,,,,,,,,
1287,Orillia S.S.,"1,090",Orillia,L3V 7S5,0.53,0.82,,,,
1288,ÉS C Paul-Desmarais,317,Ottawa,K2S 0X3,0.78,0.95,,,,
1289,Brooklin High School,,Brooklin,L1M 0K7,0.5,0.89,,,,
1290,Le Cercle Des Savoirs,,Ottawa,K1K 2Z8,,,,,,
1291,Pathways Educational Services,,,,,,,,,
1292,Guru Tegh Bahadur International School,,Brampton,L6Z 1Y4,,,,,,
1293,Alathena International Academy-Brimley,,,,,,,,,
1294,SuOn International Academy,,North York,M3L 1K5,,,,,,
1295,The London School,,London,N6A 3R6,,,,,,
1296,Blyth ,,,,,,,,,
1297,Canada Online Academy,,Toronto,M2H 2N5,,,,,,
1298,École secondaire Toronto Ouest La Passerelle,,,,,,,,,
1299,Yorkland High School,,Toronto,M1T 3T4,,,,,,
1300,Jaya International High School,,Mississauga,L5L 3R8,,,,,,
1301,Duke Academy,,Toronto,M2N 6N4,,,,,,
1302,Northview Collegiate,,Brampton,L6R 3Y5,,,,,,
1303,University Learning Academy,,,,,,,,,
1304,Centre Ado - ÉSCC,,,,,,,,,
1305,Southern Ontario Collegiate,,,,,,,,,
1306,Alathena International Academy - Markham,,,,,,,,,
1307,Higher Marks Educational Institute Inc.,,,,,,,,,
1308,Heritage International School,,North York,M2H 2S6,,,,,,
1309,Green Path Academy,,North York,M2M 4E7,,,,,,
1310,Thornton Academy,,Cookstown,L0L 1L0,,,,,,
1311,Century Private School,,Richmond Hill,L4S 1L2,,,,,,
1312,SIMRA Academy,,,,,,,,,
1313,Agincourt International Academy,,Scarborough,M1V 1Z6,,,,,,
1314,Royal Imperial Collegiate of Canada,,St. Catharines,L2P 1A4,,,,,,
1315,Non-residential Attendance Centre,,,,,,,,,
1316,Newton International College,,,,,,,,,
1317,G A Wheable Adult and Continuing Education School,,,,,,,,,
1318,G A Wheable Night School,N/D,London,N5Z 3P7,,,,,,
1319,G.A. Wheable for Independent Study,,,,,,,,,
1320,Windsor Islamic High School,,Windsor,N8T 1B4,,,,,,
1321,Blyth Academy Downsview Park,,Toronto,M3K 2B9,,,,,,
1322,Ontario Hockey Academy,,Cornwall,K6H 5R6,,,,,,
1323,Great Lakes Secondary School,981,Sarnia,N7S 2X1,0.36,0.69,,,,
1324,ÉS C Collège catholique Mer Bleue,,,,0.31,0.89,,,,
1325,Georgian Bay District Secondary School,,Midland,L4R 1X8,0.27,0.51,,,,
1326,Jean Augustine Secondary School,527,Brampton,L6X 5L3,0.27,0.63,,,,
1327,St. Charles Adult and Continuing Education,,,,,,,,,
1328,Cedar Ridge High School,,Kanata,K2M 2G2,,,,,,
1329,Cornerstone Montessori Prep School,,Toronto,M3B 1S4,,,,,,
1330,Lowell Academy,,Toronto,M1W 3Y3,,,,,,
1331,The TECH Academy,,,,,,,,,
1332,Gobind Sarvar Brampton,,,,,,,,,
1333,St. James Catholic Education Centre,,Smiths Falls,K7A 3Z9,,,,,,
1334,Eben-ezer Christian School,,,,,,,,,
1335,Eton Academy,,North York,M2N 3A9,,,,,,
1336,Carlton Prep Academy,,,,,,,,,
1337,Green Road High School,,,,,,,,,
1338,Elton Academy,,Richmond Hill,L4B 2N3,,,,,,
1339,Queen's Academic School,,North York,M2J 4A2,,,,,,
1340,Blyth Academy Waterloo,,,,,,,,,
1341,World Life Education Centre,,,,,,,,,
1342,Alpha Star High School,,,,,,,,,
1343,Capital International Academy,,Ottawa,K2G 1V9,,,,,,
1344,Westfield Secondary School,,Markham,L3T 0A9,,,,,,
1345,King’s Academy,,Toronto,M2R 1E2,,,,,,
1346,UT Preparatory Academy,,,,,,,,,
1347,Blyth Academy Ottawa - Upper School,,,,,,,,,
1348,Marco Polo Academy,,Richmond Hill,L4B 3B6,,,,,,
1349,Alathena International Academy - Elgin Mills,,,,,,,,,
1350,Maple Keys,,Lindsay,K9V 6G8,,,,,,
1351,Brooklyn College,,North York,M3B 2T5,,,,,,
1352,The Erindale Academy,,Mississauga,L5C 1E5,,,,,,
1353,Victus Academy,,Kitchener,N2P 0A5,,,,,,
1354,WillowWood School,,Don Mills,M3B 2R3,,,,,,
1355,Goldenlink Academy,,Markham,L3R 5P4,,,,,,
1356,Toronto International Collegiate,,,,,,,,,
1357,Alathena International Academy - Markham,,,,,,,,,
1358,Global Education Academy,,Vaughan,L4J 8C9,,,,,,
1359,Princeton International College,,,,,,,,,
1360,Mesivta Ohr Temimim Lubavitch,,Thornhill,L4J 3V9,,,,,,
1361,Canada Wendu Berkshire International College,,,,,,,,,
1362,Future School,,Thornhill,L3T 0C4,,,,,,
1363,New Way,,,,,,,,,
1364,Insight Academy of Canada,,,,,,,,,
1365,Thornhill Academy of Technolgy,,,,,,,,,
1366,North Toronto Private High School,,Markham,L3T 2A6,,,,,,
1367,OAT - Ontario Academy of Technology,,Toronto,M4P 1G8,,,,,,
1368,Toronto High School,,Richmond Hill,L4C 9M5,,,,,,
1369,Webtree International School of Excellence,,North York,M3B 2T5,,,,,,
1370,Upper York School,,Markham,L3R 0K8,,,,,,
1371,ALIF Canada,,,,,,,,,
1372,Bill Hogarth Secondary School,,,,0.38,0.92,,,,
1373,Brown Academy,,,,,,,,,
1374,ÉSC Père-Philippe-Lamarche,,,,,,,,,
1375,ÉSC Pape-François,,,,,,,,,
1376,Greater Fort Erie Secondary School,,,,0.53,0.82,,,,
1377,A21 Academy,,Windsor,N8S 0A1,,,,,,
1378,Toronto eSchool,,Toronto,M1R 2T5,,,,,,
1379,Xyna International School,,Woodbridge,L4L 6C6,,,,,,
1380,OneSchool Global - Mossley,,Mossley,N0L 1V0,,,,,,
1381,Sterling Education - Rideau Lakes,,Elgin,K0G 1E0,,,,,,
1382,Wisdom Academy,,North York,M5M 1C4,,,,,,
1383,Gibraltar Leadership Academy,,Scarborough,M1S 3T9,,,,,,
1384,BrightMinds Online School,,Markham,L3P 8E1,,,,,,
1385,ÉS Académie catholique Notre-Dame,,,,,,,,,
1386,Durham Academy Secondary School,,Oshawa,L1H 1H2,,,,,,
1387,First Nations School of Toronto,19,Toronto,M4J 3T2,,,,,,
1388,É.S. Passeport Jeunesse,,,,,,,,,
1389,Canada Spruceville Academy,,,,,,,,,
1390,Willowdale High School,,Toronto,M4P 3B5,,,,,,
1391,Ontario eSecondary School,,,,,,,,,
1392,Yorkville High School,,North York,M2M 1C8,,,,,,
1393,Keystone International Schools,,,,,,,,,
1394,Blyth Academy Global High School,,,,,,,,,
1395,Milton Prep Academy,,Markham,L3R 9W9,,,,,,
1396,Urban International School,,Toronto,M4P 1E8,,,,,,
1397,UMC High School - North York Center Campus,,North York,M2M 2E7,,,,,,
1398,Amberson High School,,Markham,L3T 4L1,,,,,,
1399,Newton International College,,Toronto,M5C 2R1,,,,,,
1400,Great Lyn International Academy,,,,,,,,,
1401,Toronto Berkshire Academy,,Toronto,M2H 2N5,,,,,,
1402,Canadian Top Science Academy,,Richmond Hill,L4C 3B2,,,,,,
1403,Lynn-Rose College,,Mississauga,L5N 6L8,,,,,,
1404,Queen’s Elite Academy,,Toronto,M2H 3B2,,,,,,
1405,Alathena International Academy - Richmond Hill,,Richmond Hill,L4B 2N7,,,,,,
1406,Canny Academy,,,,,,,,,
1407,Canstem Education Private School,,Brampton,L6W 1E2,,,,,,
1408,Alathena International Academy - Brimley,,,,,,,,,
1409,Alathena International Academy - Finch West,,,,,,,,,
1410,Inception Academy,,,,,,,,,
1411,McCanny Secondary School,,,,,,,,,
1412,Frederick Banting International School,,,,,,,,,
1413,Lynden School,,,,,,,,,
1414,Alden International School,,Markham,L3R 8X7,,,,,,
1415,Toronto Nobel Academy,,,,,,,,,
1416,Burlington Royal Arts Academy,,,,,,,,,
1417,Nucleus High School,,,,,,,,,
1418,Covenant Central Academy,,,,,,,,,
1419,SuOn Academy,,,,,,,,,
1420,Bethune Memorial School,,Toronto,M1P 2V1,,,,,,
1421,Sharp Eagles High School,,,,,,,,,
1422,Ontario Academy of International Education,,Toronto,M2J 5A2,,,,,,
1423,The Lighthouse Learning and Development Centre,,Aurora,L4G 6J6,,,,,,
1424,Canadian Imperial Academy,,Scarborough,M1T 3T6,,,,,,
1425,Upper York Secondary School,,Toronto,M3J 0K2,,,,,,
1426,Rosemount - U Turn School,,,,,,,,,
1427,Blyth Academy Etobicoke,,,,,,,,,
1428,ÉSC Monseigneur-Jamot,N/D,Peterborough,K9K 2L1,,,,,,
1429,Freedom High School,,Goderich,N7A 2H8,,,,,,
1430,Stanford Academy,,Kitchener,N2A 1Z7,,,,,,
1431,Blyth Academy -Whitby,,Whitby,L1N 7H8,,,,,,
1432,Blyth Academy -Waterloo,,Kitchener,N2G 1B6,,,,,,
1433,Blyth Academy - Downsview,,Toronto,M3K 2B9,,,,,,
1434,Blyth Academy -Ottawa - Lower,,Ottawa,K2A 0E2,,,,,,
1435,Blyth Academy -Ottawa - Upper,,,,,,,,,
1436,Blyth Academy - Lawrence Park,,Toronto,M4P 2J5,,,,,,
1437,Blyth Academy -Thornhill,,Thornhill,L3T 5W4,,,,,,
1438,Blyth Academy - Yorkville,,Toronto,M4Y 1W8,,,,,,
1439,Blyth Academy --Mississauga -Adamson,,Mississauga,L5G 4B2,,,,,,
1440,Blyth Academy -Mississauga -Cawthra,,Mississauga,L5G 4B2,,,,,,
1441,Blyth Academy -Burlington,,Burlington,L7R 2N1,,,,,,
1442,Blyth Academy -Global High School,,Toronto,M5R 2H8,,,,,,
1443,Blyth Academy -London,,London,N6A 2P6,,,,,,
1444,Blyth Academy Online,,London,N5W 0B4,,,,,,
1445,Blyth Academy @CIHA,,,,,,,,,
1446,Canadian Higher Learning Academy,,Mississauga,L5C 4P9,,,,,,
1447,Innocent Hearts Secondary School,,Mississauga,L5A 3S5,,,,,,
1448,Beacon Mile Academy,,Richmond Hill,L4C 3C8,,,,,,
1449,Toronto Scholars Collegiate,,Scarborough,M1R 2T5,,,,,,
1450,William Academy,,Cobourg,K9A 2M7,,,,,,
1451,YMCA Academy,,,,,,,,,
1452,Virtute Innovation and Art Education,,Richmond Hill,L4B 1J6,,,,,,
1453,Unionville Academy,,North York,M2M 1C8,,,,,,
1454,Toronto West Academy,,Toronto,M5S 1M2,,,,,,
1455,St. Mary Secondary School,,Richmond Hill,L4B 1G2,,,,,,
1456,SNP STEAM Academy,,,,,,,,,
1457,NT Private High School,,Markham,L3T 2A6,,,,,,
1458,Nobel Academy,,,,,,,,,
1459,Liberal High School,,Markham,L3R 0S9,,,,,,
1460,Leslie Academy,,Richmond Hill,L4B 3B6,,,,,,
1461,Haven International School,,Brantford,N3S 3N3,,,,,,
1462,Halley International Academy,,Newmarket,L3Y 5H6,,,,,,
1463,FH International High School Online,,Scarborough,M1H 3A4,,,,,,
1464,FH International High School,,Toronto,M1H 3A4,,,,,,
1465,Elite Academy,,Toronto,M2H 2N8,,,,,,
1466,Dewey Institute,,Bracebridge,P1L 1E2,,,,,,
1467,Crown Academy (Scarborough),,Scarborough,M1P 4X4,,,,,,
1468,Convoy International Secondary Academy,,Thornhill,L3T 0C4,,,,,,
1469,Bright Start Academy,,North York,M3H 5S4,,,,,,
1470,Alathena International Academy - Brimley,,,,,,,,,
